1-qid,two_realRank2,two_realRank,State,MART,RandomFor,ndcg_term_MART,ndcg_term_RandomFor
2012,2,1,Harvard University,1,5,0.5,0.193426404
2012,3,2,Stanford University,1,4,0.333333333,0.143558853
2012,4,3,Massachusetts Institute of Technology,1,1,0.25,0.25
2012,5,4,Columbia University in the City of New York,1,2,0.2,0.126185951
2012,6,5,University of Chicago,6,3,0.059367865,0.083333333
2012,7,6,Northwestern University,6,8,0.050886741,0.045066411
2012,9,7,Yale University,1,6,0.111111111,0.039578576
2012,13,8,University of Pennsylvania,15,7,0.019230769,0.025641026
2012,15,9,Washington University in St Louis,11,10,0.018596196,0.019270988
2012,18,10,Duke University,6,9,0.019789288,0.016723889
2012,20,11,University of California-Los Angeles,9,13,0.0150515,0.013132477
2012,21,12,Johns Hopkins University,10,11,0.013764992,0.013282997
2012,22,13,Boston University,23,18,0.009913831,0.010700405
2012,24,14,Case Western Reserve University,13,12,0.010943731,0.011259923
2012,27,15,University of Wisconsin-Madison,33,19,0.00728006,0.008569563
2012,28,16,Tufts University,19,17,0.008263508,0.008564731
2012,30,17,Cornell University,12,15,0.009007938,0.008333333
2012,33,18,Carnegie Mellon University,26,21,0.006373028,0.006795267
2012,34,19,Brown University,18,14,0.006923792,0.007528177
2012,36,20,University of California-Davis,36,33,0.005332187,0.005460045
2012,37,21,University of Southern California,16,16,0.006612177,0.006612177
2012,40,22,University of Michigan-Ann Arbor,21,20,0.005606096,0.005691756
2012,45,23,University of Pittsburgh-Pittsburgh Campus,35,26,0.004298365,0.004673554
2012,46,24,Rice University,30,22,0.004388024,0.004805755
2012,47,25,Georgia Institute of Technology-Main Campus,31,29,0.004255319,0.004336065
2012,48,26,New York University,17,23,0.004996093,0.004543839
2012,49,27,University of California-Berkeley,27,25,0.004245196,0.004341756
2012,53,28,University of Minnesota-Twin Cities,34,28,0.003678472,0.003883902
2012,54,29,University of California-San Diego,38,30,0.00350371,0.003737946
2012,55,30,University of Washington-Seattle Campus,20,27,0.004139459,0.003782084
2012,56,31,Ohio State University-Main Campus,37,32,0.003402704,0.003539998
2012,60,32,Emory University,14,24,0.004265967,0.003588971
2012,61,33,University of Rochester,25,35,0.00348764,0.003170925
2012,63,34,University of Virginia-Main Campus,29,31,0.003234842,0.003174603
2012,66,35,Vanderbilt University,28,34,0.003118891,0.002953925
2012,71,36,Georgetown University,32,38,0.002792111,0.002664794
2012,77,37,The University of Texas at Austin,24,36,0.002796601,0.00249297
2012,79,38,University of Illinois Chicago,39,40,0.002378504,0.002362689
2012,87,39,Dartmouth College,22,37,0.002540974,0.002190246
2012,92,40,Rutgers University-New Brunswick,47,39,0.00194622,0.002042411
2012,93,41,Purdue University-Main Campus,41,42,0.001994076,0.0019816
2012,95,42,University of Miami,44,44,0.001916715,0.001916715
2012,97,43,Tulane University of Louisiana,54,46,0.001783193,0.001855993
2012,100,44,University of Illinois Urbana-Champaign,49,47,0.001771838,0.001790522
2012,101,45,University of Utah,62,53,0.001656437,0.001720449
2012,102,46,Pennsylvania State University-Main Campus,43,43,0.001795777,0.001795777
2012,104,47,Michigan State University,40,41,0.001794735,0.001783164
2012,116,48,University of California-Santa Barbara,59,50,0.001459429,0.001519754
2012,117,49,University of Maryland-College Park,48,48,0.001522253,0.001522253
2012,120,50,University of Notre Dame,46,45,0.001500261,0.001508688
