,1-qid,two_realRank,two_realRank2,State,CordAscent,C_CE_I,C_CE_I_R,Total_Current_Assets,Current_Liabilities,NonCurrent_Liabilities,Unrestricted_Net_Assets,Restricted_Net_Assets,Total_Net_Assets,Total_Assets,Total_Liabilities,Total_Taxes,Total_Revenue_,Total_Expenses,NonCurrent_Liability,Change_in_Net_Assets,Population,UAAL_pension_(risk-free),UAAL_OPEB,Primary_gov_debt,Personal_income,cash_ratio,quick_ratio,current_ratio,op_ratio,surplus_percap,net_asst_ratio,long_term_liab,lt_percapita,tax_income_ratio,rev_income_ratio,exp_income_ratio,pension_income_ratio,opeb_income_ratio,overallrank,C_CE_I_R_contribution,Change_in_Net_Assets_contribution,Current_Liabilities_contribution,NonCurrent_Liability_contribution,NonCurrent_Liabilities_contribution,Personal_income_contribution,Population_contribution,Primary_gov_debt_contribution,Restricted_Net_Assets_contribution,Total_Assets_contribution,Total_Current_Assets_contribution,Total_Expenses_contribution,Total_Liabilities_contribution,Total_Net_Assets_contribution,Total_Revenue__contribution,Total_Taxes_contribution,UAAL_OPEB_contribution,UAAL_pension_(risk-free)_contribution,Unrestricted_Net_Assets_contribution,cash_ratio_contribution,current_ratio_contribution,exp_income_ratio_contribution,long_term_liab_contribution,lt_percapita_contribution,net_asst_ratio_contribution,op_ratio_contribution,opeb_income_ratio_contribution,pension_income_ratio_contribution,quick_ratio_contribution,rev_income_ratio_contribution,surplus_percap_contribution,tax_income_ratio_contribution,C_CE_I_R_feature_rank,Change_in_Net_Assets_feature_rank,Current_Liabilities_feature_rank,NonCurrent_Liability_feature_rank,NonCurrent_Liabilities_feature_rank,Personal_income_feature_rank,Population_feature_rank,Primary_gov_debt_feature_rank,Restricted_Net_Assets_feature_rank,Total_Assets_feature_rank,Total_Current_Assets_feature_rank,Total_Expenses_feature_rank,Total_Liabilities_feature_rank,Total_Net_Assets_feature_rank,Total_Revenue__feature_rank,Total_Taxes_feature_rank,UAAL_OPEB_feature_rank,UAAL_pension_(risk-free)_feature_rank,Unrestricted_Net_Assets_feature_rank,cash_ratio_feature_rank,current_ratio_feature_rank,exp_income_ratio_feature_rank,long_term_liab_feature_rank,lt_percapita_feature_rank,net_asst_ratio_feature_rank,op_ratio_feature_rank,opeb_income_ratio_feature_rank,pension_income_ratio_feature_rank,quick_ratio_feature_rank,rev_income_ratio_feature_rank,surplus_percap_feature_rank,tax_income_ratio_feature_rank
0,2006,3,3,Alabama,14,8833844,9839963,10964798,1916890,1892574,788480,7662677,28404151,32213615,3809464,8489503571,21376869048,19539717857,1892573810,1837296429,4628981,27799482577,18614526539,1585221429,1.73E+11,4.61,5.13,5.72,1.09,396.91,0.26,0.06,408.85,0.05,0.12,0.11,0.16,0.11,3,-0.000388515,-0.000999952,0.000505424,0.002301144,-0.029217116,0.006502878,-0.001812603,-0.006970487,0.002132471,0.003432434,-2.46E-05,-0.004771964,0.014557057,0.002047014,-0.000971187,0.002077436,6.20E-05,-0.000471596,0.000737324,0.000415668,0.003486443,-0.000130547,-0.000958064,0.002619574,0.000356868,0.006481762,5.09E-05,-0.001229136,0.001384841,0.003450268,0.013287913,0.001428971,27,20,24,12,1,5,16,4,13,10,33,7,2,15,21,14,31,25,23,26,8,30,22,11,28,6,32,19,18,9,3,17
1,2006,1,1,Alaska,1,48256838,49666750,60320527,13015899,2009314,9380565,37261665,52900149,67925362,15025213,2878002381,13211904762,7865476190,2009314286,5346976190,675302,12263807312,14532727067,1870745238,32836234524,3.71,3.82,4.63,1.68,7917.9,0.69,0.03,2975.43,0.09,0.4,0.24,0.37,0.44,1,0.004584472,0.002548215,0.004577854,0.002237475,-0.025835397,0.006843089,-0.00200369,-0.007279956,0.002080717,-0.039307017,0.01438083,-0.004590465,0.005288017,0.000378134,-0.004491366,0.000518,0.001612745,0.00057968,-0.000537273,0.004318637,0.004360828,0.002686904,-0.004057974,-0.000950935,0.001526446,0.004509473,-0.000836508,0.003247556,0.003819701,0.00130326,0.009251938,-0.002430405,9,19,10,21,2,6,23,5,22,1,3,8,7,33,12,32,25,30,31,14,13,18,15,28,26,11,29,17,16,27,4,20
2,2006,22,22,Arizona,31,5963508,7059144,7771343,3211195,7415246,1173256,5906337,23773075,34399517,10626442,16250119048,31650572619,27939922619,7415246429,3705803571,6029141,28619743775,845949549,6763627381,2.49E+11,1.86,2.2,2.42,1.13,614.65,0.21,0.22,1229.9,0.07,0.13,0.11,0.11,0,22,6.91E-05,0.00063007,-0.0016529,0.003141295,-0.023985599,0.003140029,-0.001896638,-0.004542416,7.43E-05,0.006267311,-0.003899806,-0.003127152,0.012725194,0.001024781,-0.003139365,-0.00022059,-0.001770965,0.001237275,8.04E-05,0.000994026,0.000425206,-0.000577983,-0.001318768,0.002209525,0.000146986,0.006435613,-0.0040529,-0.001160264,-0.001831613,-0.002267649,0.006844139,-0.002543447,33,26,19,9,1,10,16,6,32,5,8,12,2,24,11,29,18,21,31,25,28,27,20,15,30,4,7,23,17,14,3,13
3,2006,24,24,Arkansas,32,4186876,5558567,5779994,1517469,4475565,3022929,1847532,15755886,21748920,5993035,7651740476,16462564286,16101307143,4475565476,1115908333,2821761,15633940303,0,2919342857,98453957143,2.76,3.66,3.81,1.02,395.47,0.22,0.21,1586.09,0.08,0.17,0.16,0.16,0,24,-0.001022236,-0.000237815,-0.003716579,0.000374388,-0.023752475,0.006406989,-0.000895343,-0.001259267,0.002935289,0.01024135,-0.005497066,-0.003495669,0.008365882,0.001210456,-0.004233085,0.002257953,-0.001222252,-0.002087867,-0.000770008,0.003608738,0.004458002,0.00079721,-0.000695343,0.003174986,-0.001379354,-0.002451242,-0.001117759,-0.004062174,0.001592864,-0.000565543,0.012184215,-0.000787436,24,33,10,32,1,5,25,20,14,3,6,12,4,22,8,16,21,17,29,11,7,27,30,13,19,15,23,9,18,31,2,28
4,2006,41,41,California,50,42340898,55095108,70520010,43461846,113661039,-62987551,20421600,57800170,214923056,157122886,1.2E+11,2.21E+11,2.17E+11,1.14E+11,5114020238,36021202,1.73E+11,48564047619,1.01E+11,1.82E+12,0.97,1.27,1.62,1.02,141.97,-0.2,0.53,3155.39,0.07,0.12,0.12,0.1,0.03,41,-0.000274701,0.001656195,0.002013816,-0.005818473,0.065078801,-0.010971824,0.00840212,0.01708707,0.001353975,-0.038515004,0.012511436,0.009935757,-0.029461924,0.000365428,0.010337401,0.00086986,0.002365416,0.002029269,-0.002431445,-0.002312482,-0.002684703,-0.000726875,0.006819259,-8.68E-05,-0.001782875,-0.000817554,-0.000637556,-0.003590387,-0.001792585,0.000665348,-0.001406363,-0.000930849,32,22,19,12,1,6,9,4,24,2,5,8,3,31,7,26,16,18,15,17,14,28,10,33,21,27,30,13,20,29,23,25
5,2006,16,16,Colorado,6,4601195,6166602,6722729,3323692,5915937,3293483,3398819,23262696,32502325,9239629,10010415476,22118176190,20240750000,5915936905,1860472619,4720423,49754231836,1229921429,5571590476,2.26E+11,1.38,1.86,2.02,1.09,394.13,0.21,0.18,1253.26,0.04,0.1,0.09,0.22,0.01,16,-0.00059076,0.001936158,-0.001880731,0.001675015,-0.020897236,0.00050981,-0.002626,-0.006706674,-0.003109165,0.003797062,-0.001398646,-0.005285271,0.011181372,0.002347019,-0.003699841,0.001000248,-0.00192732,0.00210193,0.00213889,-6.46E-06,-0.003487554,-0.001852411,-0.004351629,0.001082111,0.002387686,0.004755477,-0.000146533,0.000244941,-0.00057649,-4.10E-06,0.010283467,0.004765356,27,18,20,22,1,29,13,4,12,9,24,5,2,15,10,26,19,17,16,32,11,21,8,25,14,7,31,30,28,33,3,6
6,2006,43,43,Connecticut,45,4181245,7341617,7558821,4188113,22725137,-11741273,3811045,-934362,25978888,26913250,14113095238,25978571429,25278785714,22725136905,700821429,3517460,42447772642,28442212443,17899053571,2.27E+11,1,1.75,1.8,1.03,199.24,-0.31,0.87,6460.67,0.06,0.11,0.11,0.19,0.13,43,-0.00351786,-0.001096909,-0.000702425,-0.00393428,0.064242438,0.00055525,-0.001649643,0.017572376,-0.001915035,0.013534943,-0.002893838,-0.001371586,-0.02839852,-0.001677335,-0.00287438,0.00039997,0.00376533,0.00019475,-7.68E-05,1.84E-05,2.12E-05,-0.001940755,0.00637672,-0.004924961,-0.001557401,-0.000822844,0.001321753,-0.003175751,0.000126537,0.001345754,0.000616794,-0.001184933,9,23,25,7,1,27,17,3,14,4,11,19,2,15,12,28,8,29,31,33,32,13,5,6,18,24,21,10,30,20,26,22
7,2006,39,39,Delaware,30,1427500,1721070,1898149,1107364,2664618,1388104,635610,6620194,10392176,3771982,3794067857,7092544048,6723867857,2664617857,368676190,859268,3459404135,3660476190,2383544048,42291527381,1.29,1.55,1.71,1.05,429.06,0.19,0.26,3101.03,0.09,0.17,0.16,0.08,0.09,39,0.00067058,-0.000529774,-0.000221106,0.003427205,-0.026569158,0.006922011,-0.004337524,-0.00498325,-0.001521793,0.018695713,-0.00392449,-0.003256481,0.012015376,-0.001646906,-0.00651657,0.000761493,-0.001292882,-0.000903963,-0.00184279,-0.00247724,0.000289149,0.00181254,-0.004230817,0.002572001,-2.76E-05,-0.002356788,-0.000102364,0.001361187,-6.06E-05,0.001433992,0.011368424,-0.003262547,26,27,29,11,1,5,8,7,20,2,10,13,3,19,6,25,23,24,17,15,28,18,9,14,33,16,31,22,32,21,4,12
8,2006,12,12,Florida ,7,44072661,54417532,54591883,22625787,35961398,-8271638,15040742,66740424,125327608,58587185,42044047619,81611904762,79320172619,35961397619,2191717857,18166990,46465618231,5326488095,24566666667,8.38E+11,1.95,2.41,2.41,1.03,120.64,0.05,0.29,1979.49,0.05,0.1,0.09,0.06,0.01,12,0.001415682,0.001086698,0.003894349,-0.004417559,0.064457786,-0.012552872,0.007404792,0.016874166,0.002473873,-0.040398808,0.012035161,0.010213153,-0.029597624,0.000456794,0.013801597,0.000382373,-0.000465839,-0.002617483,-0.002040123,0.001251317,0.001300416,-0.001595969,-0.003250758,0.00225205,0.000228018,-0.000719054,0.000586389,-0.002036882,-0.000192551,0.001537405,-0.003611182,0.001506833,23,26,12,11,1,6,9,4,16,2,7,8,3,30,5,31,29,15,18,25,24,20,14,17,32,27,28,19,33,21,13,22
9,2006,21,21,Georgia,8,10108282,15049724,15408804,7074801,8782394,1630295,4680104,24955499,40812694,15857195,19237610714,42909790476,41371958333,8782394048,1537832143,9155813,32697140919,18599646429,9235036905,3.78E+11,1.43,2.13,2.18,1.04,167.96,0.15,0.22,959.22,0.05,0.11,0.11,0.09,0.05,21,0.002509028,0.003637194,0.004145839,0.002835874,-0.014537008,-0.012558652,0.007003248,-0.00084936,0.00019786,0.005346771,-0.001955184,0.013746642,0.003925134,0.003140647,0.012574571,-0.002595927,0.000183755,0.00125545,0.00127142,0.000759844,-0.001279437,-0.003061771,-0.001944375,0.003131855,-4.52E-05,-0.00131441,0.002270334,-0.002819325,-0.000423444,-0.00523415,-0.000507406,0.002402466,18,10,8,15,1,4,5,27,31,6,21,2,9,12,3,17,32,26,25,28,24,14,22,13,33,23,20,16,30,7,29,19
