,1-qid,two_realRank,two_realRank2,State,CordAscent,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,year,female_percent,international_students,world_rank,country_encoded,country_contribution,female_percent_contribution,income_contribution,international_contribution,international_students_contribution,num_students_contribution,research_contribution,student_staff_ratio_contribution,teaching_contribution,country_feature_rank,female_percent_feature_rank,income_feature_rank,international_feature_rank,international_students_feature_rank,num_students_feature_rank,research_feature_rank,student_staff_ratio_feature_rank,teaching_feature_rank
0,2011,167,167,Aarhus University,133,Denmark,38.1,33.4,55.6,57.3,61.5,49.9,23895,13.6,2011,0.54,0.14,167,13,-0.009881952,-0.00178793,0.098027273,-0.033377671,9.77E-05,-0.000784304,0.005796869,-0.008390714,0.001685774,3,7,1,2,10,9,5,4,8
1,2011,147,147,Alexandria University,144,Egypt,29.5,19.3,28,99.8,36,51.6,127431,23.3,2011,0.46,0.01,147,14,-0.011688299,0.003005306,-0.036312334,-0.035034273,0.0002059,0.030685103,-0.000707108,0.030422614,-0.019172067,7,8,1,2,10,3,9,4,5
2,2011,162,161,Arizona State University,97,USA,43,24.1,44.1,66.9,48.97987421,50.3,83236,29.9,2011,0.5,0.09,161,70,0.008548674,-0.002055621,-0.00179449,-0.036699661,-0.001327311,0.025929244,-0.001259815,0.030205133,0.004992283,4,7,8,1,9,3,10,2,5
3,2011,43,43,Australian National University,17,Australia,51.9,93.9,62.4,81,48.97987421,67,14604,19.2,2011,0.52,0.35,43,1,-0.011439982,-0.001277368,-0.001473124,0.034434453,-0.00043594,-0.008452168,0.002113072,-0.000584314,0.053464031,4,8,7,2,10,5,6,9,1
4,2011,173,173,Bielefeld University,6,Germany,39.9,52.00744025,35.7,70.4,48.97987421,49.3,21428,67.8,2011,0.57,0.08,173,18,-0.012651148,-0.005204995,-0.001095062,0.005219914,0.000829883,0.000449327,-0.000750031,0.034220698,0.002127015,2,5,7,4,8,10,9,1,6
5,2011,113,112,Bilkent University,152,Turkey,34.3,47.7,36.1,95.7,32.4,55.4,23873.75865,18.44528302,2011,0.496839882,0.154440063,112,64,0.008177914,-0.00206368,-0.061928869,-0.011496762,-0.000316846,4.63E-05,0.000204233,-0.001001435,0.004613312,4,6,1,3,8,10,9,7,5
6,2011,152,152,Birkbeck  University of London,72,UK,41.2,88.5,35.8,70.6,27.4,51.2,9454,17.2,2011,0.55,0.38,152,69,0.008100652,-0.001532264,-0.061035797,0.038707267,0.001956921,-0.015884764,0.003749654,-0.002475785,0.00253665,4,10,1,2,9,3,6,8,7
7,2011,161,161,Boston College,170,USA,40.1,31.6,33.6,78,48.97987421,50.3,13216,17.4,2011,0.54,0.19,161,70,0.010738385,0.001222689,-0.001766672,-0.033478678,-0.001084534,-0.009263822,0.001054005,-0.005588061,0.005278232,2,8,7,1,9,3,10,4,5
8,2011,59,59,Boston University,147,USA,53.6,38.1,51.9,91.4,29.6,64,24789,8.6,2011,0.58,0.17,59,70,0.008942713,-0.002095731,-0.064062825,-0.011618234,-0.000286824,-0.002410838,0.002248732,-0.019840558,0.058918634,6,9,1,5,10,7,8,3,2
9,2011,55,55,Brown University,108,USA,59.7,60.5,57,77.7,48.97987421,64.9,8653,10.1,2011,0.496839882,0.19,55,70,0.010506099,0.001283383,-0.00224063,0.007290505,0.004963779,-0.017031442,0.002292171,-0.020726591,0.056459106,4,10,9,5,7,3,8,2,1
