1-qid,two_realRank,two_realRank2,State,LambdaMART,LambdaRank,ListNet,MART,RankBoost,RankNet,CordAscent,LinearReg,RandomFor,ndcg_term_LambdaMART,ndcg_term_LambdaRank,ndcg_term_ListNet,ndcg_term_MART,ndcg_term_RankBoost,ndcg_term_RankNet,ndcg_term_CordAscent,ndcg_term_LinearReg,ndcg_term_RandomFor
2006,1,1,Alaska,20,1,3,1,1,32,1,1,1,0.227670249,1,0.5,1,1,0.198239863,1,1,1
2006,2,2,Nebraska,9,1,19,2,20,9,34,10,2,0.150514998,0.5,0.115689107,0.315464877,0.113835124,0.150514998,0.097479511,0.144532413,0.315464877
2006,3,3,Alabama,7,1,4,3,3,14,14,2,3,0.111111111,0.333333333,0.143558853,0.166666667,0.166666667,0.085319342,0.085319342,0.210309918,0.166666667
2006,4,4,South Dakota,16,1,18,4,6,13,26,11,5,0.061162636,0.25,0.058852228,0.10766914,0.089051797,0.065662384,0.052577479,0.069735736,0.096713202
2006,5,5,Utah,35,1,5,5,2,1,16,3,7,0.038685281,0.2,0.077370561,0.077370561,0.126185951,0.2,0.048930108,0.1,0.066666667
2006,6,6,Tennessee,11,1,12,6,5,3,23,7,4,0.046490491,0.166666667,0.045039692,0.059367865,0.064475468,0.083333333,0.036350715,0.055555556,0.071779426
2006,7,7,Montana,10,1,15,7,4,5,22,4,6,0.041294975,0.142857143,0.035714286,0.047619048,0.061525223,0.055264687,0.031580676,0.061525223,0.050886741
2006,8,8,Nevada,2,1,9,8,29,8,13,6,9,0.078866219,0.125,0.037628749,0.03943311,0.025474381,0.03943311,0.032831192,0.044525898,0.037628749
2006,9,9,Texas,28,1,1,9,13,6,2,20,12,0.02287187,0.111111111,0.111111111,0.033447777,0.029183282,0.039578576,0.070103306,0.025296694,0.030026462
2006,10,10,New Hampshire,3,1,22,10,29,25,20,5,8,0.05,0.1,0.022106473,0.028906483,0.020379505,0.021274605,0.022767025,0.038685281,0.031546488
2006,11,11,Virginia,5,1,8,11,8,11,11,8,11,0.035168437,0.090909091,0.028678625,0.02535845,0.028678625,0.02535845,0.02535845,0.028678625,0.02535845
2006,12,12,Florida ,4,1,2,12,10,2,7,12,10,0.035889713,0.083333333,0.052577479,0.022519846,0.024088736,0.052577479,0.027777778,0.022519846,0.024088736
2006,13,13,Indiana,12,1,20,13,27,26,4,18,14,0.02078755,0.076923077,0.017513096,0.02020381,0.016001123,0.016177686,0.033128966,0.018108378,0.019689079
2006,14,14,Idaho,8,1,29,14,20,22,24,17,13,0.022533205,0.071428571,0.014556789,0.018282716,0.016262161,0.015790338,0.015381306,0.017129462,0.018760681
2006,15,15,Wyoming,39,1,25,15,28,4,3,35,20,0.012526788,0.066666667,0.01418307,0.016666667,0.013723122,0.028711771,0.033333333,0.012895094,0.015178017
2006,16,16,Colorado,1,1,13,16,19,15,6,9,17,0.0625,0.0625,0.016415596,0.015290659,0.014461138,0.015625,0.022262949,0.018814375,0.014988279
2006,17,17,Missouri,21,1,11,17,11,7,36,13,15,0.013190813,0.058823529,0.016408409,0.014106616,0.016408409,0.019607843,0.011291689,0.015449973,0.014705882
2006,18,18,Oklahoma,17,1,16,18,20,10,10,14,16,0.013322915,0.055555556,0.013591697,0.013078273,0.012648347,0.016059157,0.016059157,0.01421989,0.013591697
2006,19,19,North Dakota,14,1,35,19,12,12,5,25,19,0.013471475,0.052631579,0.010180337,0.012177801,0.014223061,0.014223061,0.020360674,0.011197161,0.012177801
2006,20,20,Iowa,15,1,21,20,14,17,25,19,18,0.0125,0.05,0.011212191,0.011383512,0.012797901,0.011990623,0.010637303,0.011568911,0.011770446
2006,21,21,Georgia,33,1,23,21,24,27,8,15,22,0.009360078,0.047619048,0.010385919,0.010678277,0.010254204,0.009905457,0.015022137,0.011904762,0.010526892
2006,22,22,Arizona,30,1,30,22,8,16,31,21,24,0.009174958,0.045454545,0.009174958,0.010048397,0.014339313,0.011120479,0.009090909,0.010192901,0.009788104
2006,23,23,Louisiana,37,1,7,23,7,18,27,23,23,0.008284844,0.043478261,0.014492754,0.009482795,0.014492754,0.01023517,0.009044113,0.009482795,0.009482795
2006,24,24,Arkansas,13,1,32,24,16,19,32,31,21,0.010943731,0.041666667,0.008259994,0.008972428,0.010193773,0.009640759,0.008259994,0.008333333,0.009343493
2006,25,25,Maryland,50,1,27,25,31,31,12,16,25,0.007051657,0.04,0.008320584,0.008509842,0.008,0.008,0.010809526,0.009786022,0.008509842
2006,26,26,Oregon,48,1,17,26,18,21,17,27,26,0.006850138,0.038461538,0.009223556,0.008088843,0.009054189,0.008624762,0.009223556,0.008000561,0.008088843
2006,27,27,North Carolina,29,1,38,27,34,41,33,28,29,0.007547965,0.037037037,0.007007421,0.007704244,0.007220705,0.006868482,0.00728006,0.007623957,0.007547965
2006,28,28,Pennsylvania,32,1,14,28,31,24,18,29,27,0.007079995,0.035714286,0.009141358,0.007351673,0.007142857,0.007690653,0.008407461,0.007278395,0.007429093
2006,29,29,Kansas,41,1,26,29,41,23,28,22,28,0.006394794,0.034482759,0.007252066,0.007027415,0.006394794,0.007520838,0.007098167,0.007622922,0.007098167
